SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
115, -8.740416200176938e-03, 3.091546165623745e-01, -3.122717078662752e-01, -2.189314883003579e-01, 7.780476012612032e-02, 5.869000032500000e-02, 2.431972267422531e-02
116, -1.171805344553034e-02, 3.125981248930443e-01, -3.188418735119659e-01, -2.014719445423717e-01, 7.875507103692339e-02, 6.633000075800000e-02, 2.566720128523702e-02
117, -5.781585801223190e-03, 3.162918376830660e-01, -3.251796186122318e-01, -1.854316083187283e-01, 7.972183205918203e-02, 7.440000027400000e-02, 2.698407020558599e-02
118, 8.375420633128955e-03, 3.260554193987065e-01, -3.370067740496328e-01, -1.718197915667368e-01, 8.214285253325475e-02, 8.290000259900000e-02, 2.826902297797973e-02
119, 2.332108067924595e-02, 3.447488003031380e-01, -3.571713192139768e-01, -1.608162667826405e-01, 8.676787782343016e-02, 9.181000292300000e-02, 2.951794292541893e-02
120, 2.986390137640173e-02, 3.695718586257696e-01, -3.830205098809494e-01, -1.515198172607674e-01, 9.295371994829987e-02, 1.011300012470000e-01, 3.072996367913428e-02
121, 2.362284068049674e-02, 3.934405299268674e-01, -4.077447591989777e-01, -1.424899989489269e-01, 9.897493815777235e-02, 1.108499988910000e-01, 3.190298821658526e-02
122, 8.133560925788607e-03, 4.094755731521151e-01, -4.247022456945057e-01, -1.326975643032992e-01, 1.031045825004416e-01, 1.209499984980000e-01, 3.303416079306924e-02
123, -8.517728792842317e-03, 4.149283345721939e-01, -4.312274692715666e-01, -1.220431626999546e-01, 1.046067009873349e-01, 1.314399987460000e-01, 3.412423977846774e-02
124, -1.968786605813918e-02, 4.114907510262935e-01, -4.289543272740064e-01, -1.110784862412981e-01, 1.038550233881605e-01, 1.422899961470000e-01, 3.516993611914639e-02
125, -2.379224736774209e-02, 4.030182291550946e-01, -4.216320697901171e-01, -1.004534343707040e-01, 1.017968537070713e-01, 1.534900069240000e-01, 3.617051222258769e-02
126, -2.334226112419381e-02, 3.929162123218968e-01, -4.125813725827712e-01, -9.053508638738027e-02, 9.928431943593673e-02, 1.650400012730000e-01, 3.712622439480759e-02
127, -2.101208850216600e-02, 3.830022677723373e-01, -4.036022854721645e-01, -8.136708941833230e-02, 9.680015426195820e-02, 1.769299954180000e-01, 3.803653209574599e-02
128, -1.792864937418974e-02, 3.739377111069453e-01, -3.953519244967774e-01, -7.287966700273009e-02, 9.450971296929261e-02, 1.891400069000000e-01, 3.890037866411360e-02
129, -1.418540051020382e-02, 3.658524410929152e-01, -3.879768585765281e-01, -6.500502514952668e-02, 9.246311317697602e-02, 2.016600072380000e-01, 3.971766626864477e-02
130, -1.015726290783996e-02, 3.588285545501079e-01, -3.815673752925521e-01, -5.767227506894953e-02, 9.068350812388018e-02, 2.144699990750000e-01, 4.048778225434120e-02
131, -6.403096838870713e-03, 3.528952719889440e-01, -3.761553306514461e-01, -5.083204278501980e-02, 8.917403342215612e-02, 2.275699973110000e-01, 4.121137348055370e-02
132, -3.038584809938280e-03, 3.479933222377924e-01, -3.717003872600572e-01, -4.440659988593067e-02, 8.793314512339889e-02, 2.409400045870000e-01, 4.188788216641257e-02
133, 5.367442064572373e-04, 3.440659282561195e-01, -3.681440265208993e-01, -3.832780414104059e-02, 8.692931002933979e-02, 2.545700073240000e-01, 4.251726687185402e-02
134, 5.400499447365506e-03, 3.409206814017023e-01, -3.653178111371520e-01, -3.253828474542402e-02, 8.613398311923834e-02, 2.684499919410000e-01, 4.309932275606364e-02
135, 1.215885862356373e-02, 3.384045393816393e-01, -3.630652787542867e-01, -2.695257447077431e-02, 8.548939654291575e-02, 2.825500071050000e-01, 4.363291359624086e-02
136, 2.003677394638771e-02, 3.363154201445502e-01, -3.612031509141595e-01, -2.153485397293150e-02, 8.496177133325795e-02, 2.968699932100000e-01, 4.411790378256988e-02
137, 2.606717627990704e-02, 3.346866657174553e-01, -3.597565481780265e-01, -1.623191724091345e-02, 8.454202412608966e-02, 3.113999962810000e-01, 4.455340765000908e-02
138, 2.665909583463286e-02, 3.336154051969137e-01, -3.588356900229831e-01, -1.102137183442239e-02, 8.426828759232449e-02, 3.261100053790000e-01, 4.493770720348915e-02
139, 2.077100445271023e-02, 3.332842096581358e-01, -3.586235586717070e-01, -5.836122682012318e-03, 8.417377848612860e-02, 3.409900069240000e-01, 4.526943112792348e-02
140, 1.092981660947031e-02, 3.336260706972126e-01, -3.590679717655405e-01, -6.286976241279339e-04, 8.425124477125695e-02, 3.560400009160000e-01, 4.554699954944218e-02
141, 5.799014753283152e-04, 3.342919044014206e-01, -3.598201735585307e-01, 4.661006898639520e-03, 8.440917065745088e-02, 3.712300062180000e-01, 4.576793214920970e-02
142, -7.879136757537370e-03, 3.346024620709490e-01, -3.601962287066047e-01, 1.007181521256990e-02, 8.447886991991925e-02, 3.865399956700000e-01, 4.592980237098808e-02
