SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
55, 5.110652269307131e-03, 3.370193717838205e-01, -3.899163633433692e-01, -3.545825222767047e-03, 8.570156635653908e-02, 4.019699990750000e-01, -5.905620771048682e-02
56, 1.040220706853563e-02, 3.430873535597617e-01, -3.960049174746335e-01, 2.214891619124451e-03, 8.724161727313062e-02, 3.865399956700000e-01, -5.930444122232412e-02
57, 1.357590484967440e-02, 3.498373253346099e-01, -4.027381878198260e-01, 8.192655706571543e-03, 8.895879879247097e-02, 3.712300062180000e-01, -5.948511948006515e-02
58, 1.235059618412499e-02, 3.572382642518310e-01, -4.100644187860952e-01, 1.441743259762770e-02, 9.083370602476551e-02, 3.560400009160000e-01, -5.959736733449661e-02
59, 6.621657235406594e-03, 3.651236013151903e-01, -4.178188259046174e-01, 2.094703007590963e-02, 9.283699957274744e-02, 3.409900069240000e-01, -5.963995722407643e-02
60, -1.484051489320883e-03, 3.734856490330061e-01, -4.259826345835909e-01, 2.781485523048498e-02, 9.495124426765160e-02, 3.261100053790000e-01, -5.961173196709824e-02
61, -9.228792917515402e-03, 3.822917700005815e-01, -4.345307641263853e-01, 3.507837273583301e-02, 9.717869490282371e-02, 3.113999962810000e-01, -5.951150311297583e-02
62, -1.473462173542172e-02, 3.913981533617992e-01, -4.433164302692479e-01, 4.280015578115753e-02, 9.946348605873499e-02, 2.968699932100000e-01, -5.933789910530505e-02
63, -1.690570281716215e-02, 4.001686609261461e-01, -4.517224130370494e-01, 5.101522997466409e-02, 1.016520931367362e-01, 2.825500071050000e-01, -5.908982858146717e-02
64, -1.533305420713435e-02, 4.073606623426056e-01, -4.585175910700901e-01, 5.973906028384204e-02, 1.034157603378781e-01, 2.684499919410000e-01, -5.876603289892710e-02
65, -1.023483699520005e-02, 4.112288495966481e-01, -4.619894200228416e-01, 6.888012802840233e-02, 1.043319879928626e-01, 2.545700073240000e-01, -5.836487335292217e-02
66, -2.839355825385458e-03, 4.101669469032517e-01, -4.605447124091909e-01, 7.830960803350520e-02, 1.039952750200405e-01, 2.409400045870000e-01, -5.788555860396236e-02
67, 4.729029360301616e-03, 4.034380578633922e-01, -4.534562022874858e-01, 8.787832934431003e-02, 1.022554052638521e-01, 2.275699973110000e-01, -5.732688855634020e-02
68, 9.803809998943654e-03, 3.919570369775857e-01, -4.415860622566525e-01, 9.755290348213796e-02, 9.933645146843996e-02, 2.144699990750000e-01, -5.668767472831816e-02
69, 1.067571309389034e-02, 3.780257150065169e-01, -4.271895283399235e-01, 1.075010973866416e-01, 9.583786519274490e-02, 2.016600072380000e-01, -5.596735901362196e-02
70, 7.446531972922821e-03, 3.643675203381357e-01, -4.129066418653875e-01, 1.179897849840113e-01, 9.240573363919208e-02, 1.891400069000000e-01, -5.516438993654400e-02
71, 2.287762554158448e-03, 3.525601814080915e-01, -4.002845984584242e-01, 1.292810566148566e-01, 8.943818179584255e-02, 1.769299954180000e-01, -5.427850207737988e-02
72, -1.785472205584171e-03, 3.423885518089025e-01, -3.890727819077794e-01, 1.414282641730042e-01, 8.685217069952178e-02, 1.650400012730000e-01, -5.330901793554148e-02
73, -2.779677085177257e-03, 3.321905421600257e-01, -3.776070173804620e-01, 1.542575011154624e-01, 8.424374691062657e-02, 1.534900069240000e-01, -5.225634424729902e-02
74, -1.340640005711357e-03, 3.202918745888344e-01, -3.641934949025611e-01, 1.675560189448751e-01, 8.120580542560393e-02, 1.422899961470000e-01, -5.112038453046769e-02
75, 2.481475944037533e-04, 3.062333723166419e-01, -3.483120869181784e-01, 1.812575943523469e-01, 7.762113112726896e-02, 1.314399987460000e-01, -4.990006340929386e-02
76, 5.650801206843941e-04, 2.904817170472709e-01, -3.303724820801308e-01, 1.955065022653061e-01, 7.363031826095885e-02, 1.209499984980000e-01, -4.859533176029356e-02
77, 1.310364571526394e-04, 2.735638312455473e-01, -3.108234619452420e-01, 2.104646340684821e-01, 6.934016675265163e-02, 1.108499988910000e-01, -4.720920163349179e-02
78, -1.427849939371055e-04, 2.553633793001042e-01, -2.894710222456361e-01, 2.261222659895059e-01, 6.472994804306870e-02, 1.011300012470000e-01, -4.573969012565884e-02
